"Year"	"JAN"	"FEB"	"MAR"	"APR"	"MAY"	"JUN"	"JUL"	"AUG"	"SEP"	"OCT"	"NOV"	"DEC"
2004	97.7	40.8	41.2	87.2	42.6	51.6	60.5	155.4	51.3	121.4	46.6	44.2
2005	42.3	44.5	47.6	61.7	38.1	54.6	61.7	53.5	62.6	95.8	65.6	55.9
2006	22.2	41.7	77.3	43.5	104.4	16.6	51.0	85.3	75.5	95.4	82.6	100.2
2007	91.8	84.8	55.2	8.70	112.5	167.4	144.7	41.0	38.4	41.4	64.3	78.3
2008	126.4	36.7	84.3	63.0	60.0	52.8	98.4	102.6	103.9	78.4	76.1	54.7
2009	66.0	40.6	32.3	40.4	56.8	68.9	127.0	53.4	23.7	57.2	140.5	74.0
2010	61.2	56.2	49.9	24.7	31.6	40.7	53.1	98.5	67.4	65.1	71.0	27.5
2011	56.8	72.3	11.9	7.80	53.9	56.0	48.4	56.9	41.4	52.5	42.8	93.2
2012	62.6	28.9	23.0	140.7	51.7	152.0	113.0	88.0	87.6	86.8	113.0	137.7
2013	64.2	45.5	65.2	21.8	78.8	36.2	67.4	52.9	45.0	133.3	58.8	89.4
2014	148.6	108.7	47.3	46.1	102.9	51.7	48.7	102.5	13.6	85.1	92.9	72.6            
